BOTTLE,20180426PRINUNIVRMK
# Processed by CCHDO on 2021-05-24, no changes
# 04/20/2018 Initialized README file   
# Data source: J.Jackson 8/29/17   
# SHIP: R/V Knorr  
# Cruise:   
# Region: Davis Strait  
# EXPOCODE:316N20111002  
# DATES: 20111002 - 201010YY  
# Chief Scientist: Craig Lee  
# 114 stations with 24 place Rosette  
# CTD: Who - B. Petrie; Status - final  
# 	Includes: CTDSAL, CTDOXY  
# 	Temperature data are IPTS-68   
# 	CTDSAL are pSS-78    
# SALNTY: Who - ; Status -   
# 	Notes: 	no data in file  
# Nutrients: Who - K.Azetsu-Scott; Status - final    
#  	Notes: includes ammonium  
# OXYGEN: Who - ; Status -  
# 	Notes: no data in file  
# TCARBN: Who - K.Azetsu-Scott; Status - final  
# 	Notes: 	  
# ALKALI: Who - K.Azetsu-Scott; Status - final  
# 	Notes:   
# O-18: Who - K.Azetsu-Scott; Status - final  
# 	Notes:   
# These data should be cited as:  
# References that have used data from this cruise:  
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,DELO18,DELO18_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,/MILLE,,,
  316N20111002, Davis,     1,  1, 387001,      1,2,20111003,0814, 67.3160, -53.9498,   27,     21.8,   4.6471,  32.3611,2,    295.1,2,     3.05,2,     1.60,2,     0.22,2,     0.48,2,     2.67,2,   2018.0,2,   2155.7,2,   -999.0,9,    -1.30,2, 20111003,      814
  316N20111002, Davis,     1,  1, 387002,      2,2,20111003,0814, 67.3160, -53.9498,   27,     19.8,   4.6474,  32.3610,2,    295.3,2,     3.04,2,     1.61,2,     0.23,2,     0.49,2,     3.26,2,   2015.9,2,   2159.4,2,   -999.0,9,    -1.30,2, 20111003,      814
  316N20111002, Davis,     1,  1, 387003,      3,2,20111003,0814, 67.3160, -53.9498,   27,     11.9,   4.6320,  32.3610,2,    295.0,2,     3.01,2,     1.55,2,     0.22,2,     0.47,2,      2.5,2,   2017.6,2,   2147.2,2,   -999.0,9,  -999.00,9, 20111003,      814
  316N20111002, Davis,     1,  1, 387004,      4,2,20111003,0814, 67.3160, -53.9498,   27,      5.9,   4.6304,  32.3608,2,    295.3,2,     3.07,2,     1.56,2,     0.22,2,     0.47,2,     2.38,2,   2018.4,2,   2157.2,2,   -999.0,9,    -1.38,2, 20111003,      814
  316N20111002, Davis,     1,  1, 387005,      5,2,20111003,0814, 67.3160, -53.9498,   27,      3.0,   4.6271,  32.3607,2,    295.2,2,     2.96,2,     1.52,2,     0.21,2,     0.46,2,     2.34,2,   2018.6,2,   2159.3,2,    348.2,2,    -1.28,2, 20111003,      814
  316N20111002, Davis,     2,  1, 387006,      1,2,20111003,0946, 67.2622, -54.4730,   57,     54.4,   4.4503,  32.1292,2,    298.3,2,     3.29,2,     1.73,2,     0.25,2,     0.47,2,      2.4,2,   2004.5,2,   2139.9,2,   -999.0,9,    -1.50,2, 20111003,      946
  316N20111002, Davis,     2,  1, 387007,      2,2,20111003,0946, 67.2622, -54.4730,   57,     33.7,   4.4476,  32.1286,2,    298.2,2,     3.34,2,     1.77,2,     0.26,2,     0.49,2,     2.85,2,   2009.0,2,   2127.1,2,   -999.0,9,    -1.48,2, 20111003,      946
  316N20111002, Davis,     2,  1, 387008,      3,2,20111003,0946, 67.2622, -54.4730,   57,     23.8,   4.4434,  32.1272,2,    298.5,2,     3.30,2,     1.72,2,     0.25,2,     0.48,2,     2.35,2,   2015.6,2,   2121.2,2,   -999.0,9,  -999.00,9, 20111003,      946
  316N20111002, Davis,     2,  1, 387009,      4,2,20111003,0946, 67.2622, -54.4730,   57,     12.9,   4.4733,  32.1255,2,    298.6,2,     3.29,2,     1.75,2,     0.24,2,     0.47,2,     2.14,2,   2003.3,2,   2147.4,2,   -999.0,9,    -1.64,2, 20111003,      946
  316N20111002, Davis,     2,  1, 387010,      5,2,20111003,0946, 67.2622, -54.4730,   57,      7.9,   4.4389,  32.1262,2,    298.6,2,     3.25,2,     1.73,2,     0.24,2,     0.46,2,     2.19,2,   2003.8,2,   2146.8,2,   -999.0,9,    -1.60,2, 20111003,      946
  316N20111002, Davis,     2,  1, 387011,      6,2,20111003,0946, 67.2622, -54.4730,   57,      4.0,   4.4360,  32.1251,2,    298.7,2,     3.27,2,     1.72,2,     0.24,2,     0.47,2,     2.33,2,   2003.5,2,   2141.2,2,    340.1,2,    -1.57,2, 20111003,      946
  316N20111002, Davis,     3,  1, 387012,      1,2,20111004,0412, 67.2305, -54.8617,   57,     52.5,   4.2809,  32.2069,2,    301.0,2,     1.84,2,     1.20,2,     0.17,2,     0.34,2,     1.92,2,   2007.2,2,   2153.7,2,   -999.0,9,    -1.37,2, 20111004,      412
  316N20111002, Davis,     3,  1, 387013,      2,2,20111004,0412, 67.2305, -54.8617,   57,     32.7,   4.3049,  32.2038,2,    300.2,2,     2.35,2,     1.34,2,     0.20,2,     0.42,2,     2.02,2,   1554.9,4,   2161.6,2,   -999.0,9,  -999.00,9, 20111004,      412
  316N20111002, Davis,     3,  1, 387014,      3,2,20111004,0412, 67.2305, -54.8617,   57,     23.8,   4.3043,  32.2039,2,    300.3,2,     2.40,2,     1.36,2,     0.20,2,     0.44,2,     2.13,2,   1546.8,4,   2166.0,2,   -999.0,9,    -1.43,2, 20111004,      412
  316N20111002, Davis,     3,  1, 387015,      4,2,20111004,0412, 67.2305, -54.8617,   57,     13.9,   4.2990,  32.2039,2,    300.2,2,     2.54,2,     1.41,2,     0.21,2,     0.44,2,     2.08,2,   2004.4,2,   2172.9,2,   -999.0,9,    -1.41,2, 20111004,      412
  316N20111002, Davis,     3,  1, 387016,      5,2,20111004,0412, 67.2305, -54.8617,   57,      8.9,   4.3035,  32.2036,2,    299.9,2,     2.17,2,     1.25,2,     0.19,2,     0.44,2,     2.16,2,   2015.9,2,   2158.3,2,   -999.0,9,    -1.35,2, 20111004,      412
  316N20111002, Davis,     3,  1, 387017,      6,2,20111004,0412, 67.2305, -54.8617,   57,      3.0,   4.2937,  32.2035,2,    300.6,2,     2.56,2,     1.42,2,     0.21,2,     0.41,2,      2.1,2,   2018.1,2,   2159.7,2,    340.0,2,    -1.44,2, 20111004,      412
  316N20111002, Davis,     4,  1, 387018,      1,2,20111004,0535, 67.1928, -55.3167,   75,     71.3,   3.8642,  32.8501,2,    294.8,2,     2.63,2,     1.81,2,     0.30,2,     0.50,2,     2.79,2,   2062.0,2,   2204.6,2,   -999.0,9,  -999.00,9, 20111004,      535
  316N20111002, Davis,     4,  1, 387019,      2,2,20111004,0535, 67.1928, -55.3167,   75,     52.5,   4.0208,  32.5886,2,    297.1,2,     2.72,2,     1.85,2,     0.30,2,     0.53,2,     2.97,2,   2039.6,2,   2195.2,2,   -999.0,9,    -1.26,2, 20111004,      535
  316N20111002, Davis,     4,  1, 387020,      3,2,20111004,0535, 67.1928, -55.3167,   75,     32.7,   3.9940,  32.3011,2,    305.6,2,     1.62,2,     1.14,2,     0.20,2,     0.39,2,     2.08,2,   2015.0,2,   2165.4,2,   -999.0,9,    -1.26,2, 20111004,      535
  316N20111002, Davis,     4,  1, 387021,      4,2,20111004,0535, 67.1928, -55.3167,   75,     22.8,   4.0080,  32.1849,2,    308.0,2,     1.25,2,     0.97,2,     0.18,2,     0.33,2,     2.07,2,   2009.0,2,   2156.1,2,   -999.0,9,    -1.30,2, 20111004,      535
  316N20111002, Davis,     4,  1, 387022,      5,2,20111004,0535, 67.1928, -55.3167,   75,     13.9,   3.9566,  32.1609,2,    308.3,2,     1.24,2,     0.96,2,     0.17,2,     0.32,2,     1.51,2,   2004.8,2,   2155.8,2,   -999.0,9,    -1.30,2, 20111004,      535
  316N20111002, Davis,     4,  1, 387023,      6,2,20111004,0535, 67.1928, -55.3167,   75,      7.9,   3.9589,  32.1607,2,    308.4,2,     1.23,2,     0.95,2,     0.17,2,     0.32,2,     1.55,2,   2004.4,2,   2149.4,2,   -999.0,9,  -999.00,9, 20111004,      535
  316N20111002, Davis,     4,  1, 387024,      7,2,20111004,0535, 67.1928, -55.3167,   75,      4.0,   3.9561,  32.1610,2,    308.3,2,     2.69,2,     0.78,2,     0.12,2,     0.21,2,     1.63,2,   2003.2,2,   2155.8,2,    333.3,2,    -1.38,2, 20111004,      535
  316N20111002, Davis,     5,  1, 387025,      1,2,20111004,0710, 67.1615, -55.8228,  114,    108.9,   3.0021,  33.3271,2,    301.3,2,     2.22,2,     2.46,2,     0.26,2,     0.49,2,     1.92,2,   2080.1,2,   2228.2,2,   -999.0,9,    -0.56,2, 20111004,      710
  316N20111002, Davis,     5,  1, 387026,      2,2,20111004,0710, 67.1615, -55.8228,  114,     53.5,   3.9164,  32.6495,2,    299.8,2,     1.42,2,     1.25,2,     0.18,2,     0.37,2,     2.24,2,   2039.1,2,   2188.9,2,   -999.0,9,    -0.84,2, 20111004,      710
  316N20111002, Davis,     5,  1, 387027,      3,2,20111004,0710, 67.1615, -55.8228,  114,     33.7,   3.4521,  32.4239,2,    310.1,2,     1.34,2,     0.93,2,     0.15,2,     0.35,2,     1.78,2,   2020.7,2,   2178.3,2,   -999.0,9,  -999.00,9, 20111004,      710
  316N20111002, Davis,     5,  1, 387028,      4,2,20111004,0710, 67.1615, -55.8228,  114,     21.8,   3.8134,  32.1319,2,    310.8,2,     0.69,2,     0.79,2,     0.11,2,     0.21,2,     1.13,2,   2003.3,2,   2161.2,2,   -999.0,9,    -1.32,2, 20111004,      710
  316N20111002, Davis,     5,  1, 387029,      5,2,20111004,0710, 67.1615, -55.8228,  114,     11.9,   3.8222,  32.1245,2,    310.9,2,     1.19,2,     1.01,2,     0.18,2,     0.36,2,     1.45,2,   2001.3,2,   2158.8,2,   -999.0,9,    -1.25,2, 20111004,      710
  316N20111002, Davis,     5,  1, 387030,      6,2,20111004,0710, 67.1615, -55.8228,  114,      7.9,   3.8230,  32.1245,2,    310.6,2,     1.13,2,     0.98,2,     0.17,2,     0.34,2,     1.35,2,   1999.8,2,   2156.4,2,   -999.0,9,    -1.20,2, 20111004,      710
  316N20111002, Davis,     5,  1, 387031,      7,2,20111004,0710, 67.1615, -55.8228,  114,      3.0,   3.8276,  32.1255,2,    310.8,2,     1.20,2,     1.01,2,     0.18,2,     0.36,2,     1.26,2,   2005.8,2,   2158.1,2,    304.3,2,    -1.29,2, 20111004,      710
  316N20111002, Davis,     6,  1, 387032,      1,2,20111004,0843, 67.1063, -56.3188,  151,    141.5,   2.3528,  33.8105,2,    299.4,2,     4.11,2,     6.55,2,     0.35,2,     0.78,2,     1.19,2,   2111.7,2,   2282.0,2,   -999.0,9,  -999.00,9, 20111004,      843
  316N20111002, Davis,     6,  1, 387033,      2,2,20111004,0843, 67.1063, -56.3188,  151,    100.0,   2.2778,  33.7356,2,    302.9,2,     4.06,2,     6.41,2,     0.33,2,     0.76,2,     1.16,2,   2114.4,2,   2242.1,2,   -999.0,9,    -0.38,2, 20111004,      843
  316N20111002, Davis,     6,  1, 387034,      3,2,20111004,0843, 67.1063, -56.3188,  151,     52.5,   2.7391,  33.3616,2,    309.0,2,     3.03,2,     3.85,2,     0.38,2,     0.66,2,     2.53,2,   2090.3,2,   2244.4,2,   -999.0,9,    -0.45,2, 20111004,      843
  316N20111002, Davis,     6,  1, 387035,      4,2,20111004,0843, 67.1063, -56.3188,  151,     30.7,   3.1874,  32.7774,2,    315.6,2,     1.88,2,     1.79,2,     0.26,2,     0.47,2,     2.14,2,   2058.5,2,   2216.5,2,   -999.0,9,    -0.72,2, 20111004,      843
  316N20111002, Davis,     6,  1, 387036,      5,2,20111004,0843, 67.1063, -56.3188,  151,     20.8,   3.2237,  32.7274,2,    316.0,2,     1.57,2,     1.21,2,     0.18,2,     0.43,2,     1.59,2,   2048.3,2,   2213.2,2,   -999.0,9,    -0.79,2, 20111004,      843
  316N20111002, Davis,     6,  1, 387037,      6,2,20111004,0843, 67.1063, -56.3188,  151,     10.9,   3.2948,  32.4083,2,    315.4,2,     1.05,2,     0.94,2,     0.15,2,     0.32,2,     1.41,2,   2031.6,2,   2185.1,2,   -999.0,9,  -999.00,9, 20111004,      843
  316N20111002, Davis,     6,  1, 387038,      7,2,20111004,0843, 67.1063, -56.3188,  151,      6.9,   3.2950,  32.4023,2,    315.2,2,     1.19,2,     0.98,2,     0.16,2,     0.35,2,     1.62,2,   2025.8,2,   2183.4,2,   -999.0,9,    -1.13,2, 20111004,      843
  316N20111002, Davis,     6,  1, 387039,      8,2,20111004,0843, 67.1063, -56.3188,  151,      3.0,   3.2950,  32.3946,2,    315.2,2,     1.28,2,     1.03,2,     0.17,2,     0.37,2,     1.41,2,   2029.4,2,   2212.4,2,   -999.0,9,    -1.01,2, 20111004,      843
  316N20111002, Davis,     7,  1, 387040,      1,2,20111004,1019, 67.0685, -56.6790,  385,    387.7,   4.5527,  34.8068,2,    260.5,2,     9.18,2,    14.49,3,     0.12,2,     1.12,2,     0.43,2,   2164.3,2,   2299.2,2,   -999.0,9,  -999.00,9, 20111004,     1019
  316N20111002, Davis,     7,  1, 387041,      2,2,20111004,1019, 67.0685, -56.6790,  385,    299.8,   4.5640,  34.7315,2,    270.4,2,     7.55,2,    13.99,3,     0.10,2,     1.13,2,     0.29,2,   2151.4,2,   2332.2,2,   -999.0,9,     0.26,2, 20111004,     1019
  316N20111002, Davis,     7,  1, 387042,      3,2,20111004,1019, 67.0685, -56.6790,  385,    200.9,   3.7278,  34.4499,2,    275.4,2,     6.42,2,    11.56,2,     0.09,2,     1.00,2,     0.28,2,   2145.2,2,   2274.2,2,   -999.0,9,  -999.00,9, 20111004,     1019
  316N20111002, Davis,     7,  1, 387043,      4,2,20111004,1019, 67.0685, -56.6790,  385,    102.9,   1.7126,  33.7607,2,    311.5,2,     3.94,2,     6.95,2,     0.29,2,     0.78,2,     0.67,2,   2111.7,2,   2239.7,2,   -999.0,9,    -0.36,2, 20111004,     1019
  316N20111002, Davis,     7,  1, 387044,      5,2,20111004,1019, 67.0685, -56.6790,  385,     53.5,   3.3380,  33.5745,2,    308.9,2,     2.80,2,     4.10,2,     0.40,2,     0.67,2,     2.66,2,   2092.5,2,   2243.0,2,   -999.0,9,    -0.35,2, 20111004,     1019
  316N20111002, Davis,     7,  1, 387045,      6,2,20111004,1019, 67.0685, -56.6790,  385,     33.7,   2.9899,  33.0285,2,    314.7,2,     2.30,2,     3.42,2,     0.37,2,     0.63,2,     3.14,2,   2081.1,2,   2238.0,2,   -999.0,9,    -0.43,2, 20111004,     1019
  316N20111002, Davis,     7,  1, 387046,      7,2,20111004,1019, 67.0685, -56.6790,  385,     23.8,   3.1247,  32.7572,2,    316.2,2,     1.48,2,     1.32,2,     0.19,2,     0.44,2,     1.81,2,   2046.1,2,   2209.3,2,   -999.0,9,    -0.79,2, 20111004,     1019
  316N20111002, Davis,     7,  1, 387047,      8,2,20111004,1019, 67.0685, -56.6790,  385,     12.9,   3.1183,  32.7488,2,    316.4,2,     1.28,2,     1.16,2,     0.16,2,     0.39,2,     1.65,2,   2046.1,2,   2189.1,2,   -999.0,9,  -999.00,9, 20111004,     1019
  316N20111002, Davis,     7,  1, 387048,      9,2,20111004,1019, 67.0685, -56.6790,  385,      7.9,   3.1102,  32.7432,2,    316.5,2,     1.37,2,     1.21,2,     0.17,2,     0.40,2,     1.66,2,   2046.3,2,   2199.5,2,   -999.0,9,    -1.07,2, 20111004,     1019
  316N20111002, Davis,     7,  1, 387049,     10,2,20111004,1019, 67.0685, -56.6790,  385,      5.0,   3.1041,  32.7404,2,    316.3,2,     1.42,2,     1.22,2,     0.17,2,     0.42,2,     1.74,2,   2047.6,2,   2189.1,2,    333.9,2,  -999.00,9, 20111004,     1019
  316N20111002, Davis,     8,  1, 387050,      1,2,20111005,0144, 67.0355, -57.0372,  694,    697.8,   2.3040,  34.6103,2,    223.7,2,    21.92,2,    16.43,2,     0.10,2,     1.30,2,     0.33,2,   2191.4,2,   2292.5,2,   -999.0,9,     0.05,2, 20111005,      144
  316N20111002, Davis,     8,  1, 387051,      2,2,20111005,0144, 67.0355, -57.0372,  694,    594.2,   2.3207,  34.6107,2,    225.4,2,    21.26,2,    15.98,2,     0.10,2,     1.30,2,     0.38,2,   2193.6,2,   2281.9,2,   -999.0,9,    -0.02,2, 20111005,      144
  316N20111002, Davis,     8,  1, 387052,      3,2,20111005,0144, 67.0355, -57.0372,  694,    496.4,   2.4976,  34.5717,2,    236.6,2,    17.01,2,    14.93,2,     0.09,2,     1.23,2,     0.35,2,   2183.0,2,   2289.7,2,   -999.0,9,     0.05,2, 20111005,      144
  316N20111002, Davis,     8,  1, 387053,      4,2,20111005,0144, 67.0355, -57.0372,  694,    399.6,   3.3794,  34.6442,2,    247.8,2,    12.91,2,    14.02,2,     0.10,2,     1.15,2,      0.3,2,   2174.0,2,   2301.6,2,   -999.0,9,     0.12,2, 20111005,      144
  316N20111002, Davis,     8,  1, 387054,      5,2,20111005,0144, 67.0355, -57.0372,  694,    300.8,   3.5248,  34.5914,2,    250.9,2,    12.27,2,    14.65,3,     0.09,2,     1.09,2,     0.31,2,   2172.1,2,   2281.6,2,   -999.0,9,     0.22,2, 20111005,      144
  316N20111002, Davis,     8,  1, 387055,      6,2,20111005,0144, 67.0355, -57.0372,  694,    202.9,   2.1521,  34.2813,2,    256.4,2,    12.67,2,    13.29,2,     0.10,2,     1.14,2,     0.37,2,   2169.0,2,   2272.8,2,   -999.0,9,  -999.00,9, 20111005,      144
  316N20111002, Davis,     8,  1, 387056,      7,2,20111005,0144, 67.0355, -57.0372,  694,    103.9,   1.3848,  33.8884,2,    300.3,2,     5.31,2,     8.90,2,     0.10,2,     0.85,2,     0.35,2,   2125.0,2,   2254.6,2,   -999.0,9,    -0.20,2, 20111005,      144
  316N20111002, Davis,     8,  1, 387057,      8,2,20111005,0144, 67.0355, -57.0372,  694,     55.4,   0.9817,  33.5631,2,    318.3,2,     3.70,2,     5.24,2,     0.38,2,     0.72,2,     2.16,2,   2101.2,2,   2241.6,2,   -999.0,9,    -0.41,2, 20111005,      144
  316N20111002, Davis,     8,  1, 387058,      9,2,20111005,0144, 67.0355, -57.0372,  694,     28.7,   2.9940,  32.8486,2,    316.9,2,     1.48,2,     1.09,2,     0.16,2,     0.41,2,      1.3,2,   2053.9,2,   2200.5,2,   -999.0,9,    -0.70,2, 20111005,      144
  316N20111002, Davis,     8,  1, 387059,     10,2,20111005,0144, 67.0355, -57.0372,  694,     13.9,   2.9909,  32.8484,2,    317.2,2,     1.50,2,     1.06,2,     0.16,2,     0.40,2,     1.37,2,   2048.2,2,   2198.7,2,   -999.0,9,    -0.70,2, 20111005,      144
  316N20111002, Davis,     8,  1, 387060,     11,2,20111005,0144, 67.0355, -57.0372,  694,      7.9,   2.9867,  32.8485,2,    317.1,2,     1.46,2,     1.07,2,     0.16,2,     0.40,2,     1.31,2,   2063.6,2,   2203.0,2,   -999.0,9,  -999.00,9, 20111005,      144
  316N20111002, Davis,     8,  1, 387061,     12,2,20111005,0144, 67.0355, -57.0372,  694,      4.0,   2.9853,  32.8485,2,    316.9,2,     1.48,2,     1.06,2,     0.16,2,     0.40,2,     1.37,2,   2051.0,2,   2201.8,2,    314.0,2,    -0.96,2, 20111005,      144
  316N20111002, Davis,     9,  1, 387062,      1,2,20111005,0329, 67.0188, -57.3638,  799,    801.4,   0.9845,  34.4899,2,    189.3,2,    29.69,2,    17.93,2,     0.11,2,     1.42,2,     0.45,2,   2215.9,2,   2293.8,2,   -999.0,9,    -0.05,2, 20111005,      329
  316N20111002, Davis,     9,  1, 387063,      2,2,20111005,0329, 67.0188, -57.3638,  799,    691.9,   1.2485,  34.4843,2,    207.4,2,    25.66,2,    16.49,2,     0.11,2,     1.34,2,     0.57,2,   2203.6,2,   2294.3,2,   -999.0,9,     0.08,2, 20111005,      329
  316N20111002, Davis,     9,  1, 387064,      3,2,20111005,0329, 67.0188, -57.3638,  799,    603.0,   1.3452,  34.4775,2,    213.8,2,    23.00,2,    16.98,2,     0.10,2,     1.32,2,     0.35,2,   2211.2,2,   2301.7,2,   -999.0,9,     0.18,2, 20111005,      329
  316N20111002, Davis,     9,  1, 387065,      4,2,20111005,0329, 67.0188, -57.3638,  799,    505.3,   1.6704,  34.4909,2,    224.3,2,    20.82,2,    14.77,2,     0.10,2,     1.23,2,     0.59,2,   2197.5,2,   2293.6,2,   -999.0,9,  -999.00,9, 20111005,      329
  316N20111002, Davis,     9,  1, 387066,      5,2,20111005,0329, 67.0188, -57.3638,  799,    401.6,   1.6280,  34.4506,2,    229.0,2,    19.09,2,    14.84,2,     0.11,2,     1.23,2,     0.48,2,   2193.7,2,   2281.7,2,   -999.0,9,  -999.00,9, 20111005,      329
  316N20111002, Davis,     9,  1, 387067,      6,2,20111005,0329, 67.0188, -57.3638,  799,    303.7,   1.4664,  34.3692,2,    230.2,2,    16.71,2,    14.41,2,     0.11,2,     1.19,2,     0.53,2,   2188.9,2,   2317.9,2,   -999.0,9,    -0.12,2, 20111005,      329
  316N20111002, Davis,     9,  1, 387068,      7,2,20111005,0329, 67.0188, -57.3638,  799,    200.9,   3.7183,  34.4856,2,    268.4,2,     8.12,2,    12.35,2,     0.12,2,     1.01,2,     0.44,2,   2154.1,2,   2279.8,2,   -999.0,9,    -0.02,2, 20111005,      329
  316N20111002, Davis,     9,  1, 387069,      8,2,20111005,0329, 67.0188, -57.3638,  799,    102.0,   1.1298,  33.8705,2,    298.7,2,     5.05,2,     8.90,2,     0.11,2,     0.85,2,     0.36,2,   2132.0,2,   2248.2,2,   -999.0,9,    -0.41,2, 20111005,      329
  316N20111002, Davis,     9,  1, 387070,      9,2,20111005,0329, 67.0188, -57.3638,  799,     53.5,   0.6900,  33.6066,2,    316.9,2,     4.15,2,     5.44,2,     0.42,2,     0.71,2,     1.88,2,   2105.9,2,   2254.9,2,   -999.0,9,    -0.48,2, 20111005,      329
  316N20111002, Davis,     9,  1, 387071,     10,2,20111005,0329, 67.0188, -57.3638,  799,     26.7,   2.8683,  32.6704,2,    319.7,2,     1.58,2,     1.12,2,     0.17,2,     0.42,2,     1.51,2,   2051.4,2,   2212.6,2,   -999.0,9,  -999.00,9, 20111005,      329
  316N20111002, Davis,     9,  1, 387072,     11,2,20111005,0329, 67.0188, -57.3638,  799,     11.9,   2.7535,  32.5401,2,    320.4,2,     1.29,2,     0.95,2,     0.13,2,     0.36,2,     1.39,2,   2053.4,2,   2213.0,2,   -999.0,9,    -1.33,2, 20111005,      329
  316N20111002, Davis,     9,  1, 387073,     12,2,20111005,0329, 67.0188, -57.3638,  799,      7.9,   2.7501,  32.5408,2,    320.4,2,     1.51,2,     0.96,2,     0.13,2,     0.41,2,     0.88,2,   2063.6,2,   2212.3,2,   -999.0,9,    -1.25,2, 20111005,      329
  316N20111002, Davis,     9,  1, 387074,     13,2,20111005,0329, 67.0188, -57.3638,  799,      4.0,   2.7548,  32.5410,2,    320.0,2,     1.47,2,     0.95,2,     0.12,2,     0.39,2,      0.8,2,   2052.2,2,   2174.3,2,    309.5,2,    -1.14,2, 20111005,      329
  316N20111002, Davis,    10,  1, 387075,      1,2,20111005,0531, 66.9780, -57.6737,  862,    860.5,   1.0164,  34.4902,2,    190.6,2,    28.72,2,    16.95,2,     0.12,2,     1.36,2,     0.61,2,   2215.9,2,   2289.5,2,   -999.0,9,    -0.08,2, 20111005,      531
  316N20111002, Davis,    10,  1, 387076,      2,2,20111005,0531, 66.9780, -57.6737,  862,    788.6,   1.1301,  34.4906,2,    198.0,2,    31.67,2,    17.81,2,     0.11,2,     1.38,2,     0.69,2,   2212.5,2,   2305.5,2,   -999.0,9,  -999.00,9, 20111005,      531
  316N20111002, Davis,    10,  1, 387077,      3,2,20111005,0531, 66.9780, -57.6737,  862,    699.8,   1.3173,  34.4911,2,    207.3,2,    27.16,2,    17.17,2,     0.11,2,     1.33,2,     0.29,2,   2204.8,2,   2283.3,2,   -999.0,9,     0.02,2, 20111005,      531
  316N20111002, Davis,    10,  1, 387078,      4,2,20111005,0531, 66.9780, -57.6737,  862,    601.1,   1.4436,  34.4794,2,    217.0,2,    20.62,2,    16.40,2,     0.10,2,     1.30,2,     0.41,2,   2194.1,2,   2289.5,2,   -999.0,9,     0.13,2, 20111005,      531
  316N20111002, Davis,    10,  1, 387079,      5,2,20111005,0531, 66.9780, -57.6737,  862,    504.3,   1.5355,  34.4547,2,    224.2,2,    18.51,2,    15.05,2,     0.11,2,     1.20,2,     0.35,2,   2199.9,2,   2285.8,2,   -999.0,9,     0.01,2, 20111005,      531
  316N20111002, Davis,    10,  1, 387080,      6,2,20111005,0531, 66.9780, -57.6737,  862,    402.6,   1.4508,  34.3954,2,    227.1,2,    18.12,2,    14.26,2,     0.11,2,     1.15,2,     0.84,2,   2193.0,2,   2293.2,2,   -999.0,9,     0.05,2, 20111005,      531
  316N20111002, Davis,    10,  1, 387081,      7,2,20111005,0531, 66.9780, -57.6737,  862,    303.7,   1.3411,  34.3113,2,    231.4,2,    15.72,2,    12.21,3,     0.10,2,     1.14,2,     0.24,2,   2188.5,2,   2282.0,2,   -999.0,9,  -999.00,9, 20111005,      531
  316N20111002, Davis,    10,  1, 387082,      8,2,20111005,0531, 66.9780, -57.6737,  862,    199.9,   0.7178,  34.0630,2,    246.4,2,    14.34,2,    12.99,2,     0.13,2,     1.12,2,     2.31,2,   2180.1,2,   2285.2,2,   -999.0,9,    -0.38,2, 20111005,      531
  316N20111002, Davis,    10,  1, 387083,      9,2,20111005,0531, 66.9780, -57.6737,  862,    102.0,  -1.2520,  33.4904,2,    300.4,2,     9.67,2,     8.40,2,     0.12,2,     0.95,2,     0.43,2,   2147.1,2,   2249.2,2,   -999.0,9,    -0.89,2, 20111005,      531
  316N20111002, Davis,    10,  1, 387084,     10,2,20111005,0531, 66.9780, -57.6737,  862,     51.5,  -1.3328,  32.9971,2,    321.4,2,     9.37,2,     6.69,2,     0.15,2,     0.94,2,     0.56,2,   2135.3,2,   2338.4,3,   -999.0,9,    -1.22,2, 20111005,      531
  316N20111002, Davis,    10,  1, 387085,     11,2,20111005,0531, 66.9780, -57.6737,  862,     25.7,   2.8606,  32.7132,2,    318.3,2,     2.28,2,     1.37,2,     0.16,2,     0.46,2,     1.15,2,   2055.6,2,   2211.7,2,   -999.0,9,    -0.86,2, 20111005,      531
  316N20111002, Davis,    10,  1, 387086,     12,2,20111005,0531, 66.9780, -57.6737,  862,     10.9,   2.8575,  32.7129,2,    318.1,2,     1.68,2,     1.13,2,     0.15,2,     0.41,2,     1.13,2,   2060.9,2,   2194.7,2,   -999.0,9,  -999.00,9, 20111005,      531
  316N20111002, Davis,    10,  1, 387087,     13,2,20111005,0531, 66.9780, -57.6737,  862,      7.9,   2.8546,  32.7130,2,    318.2,2,     1.65,2,     1.13,2,     0.16,2,     0.41,2,     1.15,2,   2070.5,2,   2163.5,2,   -999.0,9,    -1.02,2, 20111005,      531
