BOTTLE,20180125PRINUNIVRMK
# processed by CCHDO on 2020-12-11, no changes
# 8/29/2017 Initialized README file  
# Data source: J.Jackson 8/29/17 
# Cruise: KN179-05 
# Region: Davis Strait  
# EXPOCODE: 316N20040922 
# DATES:20040922 - 20041004 
# Chief Scientist: Craig Lee 
# 23 stations with 24 place Rosette 
# CTD: Who - B. Petrie; Status - final 
# 	Includes: CTDSAL, CTDOXY 
# SALNTY: Who - ; Status -  
# 	Notes: 	no data in file 
# Nutrients: Who - K.Azetsu-Scott; Status - final 
# 	Includes: nitrate, silicate, phopshpate 
# 	Sigificant data scatter 
# OXYGEN: Who - ; Status - 
# 	Notes: no data in file 
# TCARBN: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# ALKALI: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# O18: Who - K.Azetsu-Scott; Status - final 
# 	Notes: 
# CFC:  Who - M.Warner; Status - no date 
# 	Notes: Samples lost in shipping 
# These data should be cited as: 
# References that have used data from this cruise: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,,
  316N20040922, Davis,     1,  1, 271603,      1,2,20040923,1017, 66.8448, -59.0843, 1064,    975.4,   0.9411,  34.4901,2,    180.5,2,    37.06,2,    18.41,2,     1.83,2,   2211.7,2,   2297.6,2,    -0.06,2, 20040923,     1017
  316N20040922, Davis,     1,  1, 271604,      2,2,20040923,1017, 66.8448, -59.0843, 1064,    899.8,   0.9990,  34.4863,2,    185.3,2,    35.39,2,    18.25,2,     1.79,2,   -999.0,9,   -999.0,9,    -0.11,2, 20040923,     1017
  316N20040922, Davis,     1,  1, 271605,      3,2,20040923,1017, 66.8448, -59.0843, 1064,    800.8,   1.1450,  34.4820,2,    196.0,2,    26.53,2,    15.95,2,     1.37,2,   2200.5,2,   2314.5,2,    -0.14,2, 20040923,     1017
  316N20040922, Davis,     1,  1, 271606,      4,2,20040923,1017, 66.8448, -59.0843, 1064,    700.9,   1.4175,  34.4857,2,    205.7,2,    24.02,2,    16.76,2,     1.52,2,   -999.0,9,   -999.0,9,    -0.04,2, 20040923,     1017
  316N20040922, Davis,     1,  1, 271607,      5,2,20040923,1017, 66.8448, -59.0843, 1064,    600.3,   1.6493,  34.4789,2,    212.2,2,    19.33,2,    15.29,2,     1.38,2,   2187.7,2,   2289.4,2,    -0.06,2, 20040923,     1017
  316N20040922, Davis,     1,  1, 271608,      6,2,20040923,1017, 66.8448, -59.0843, 1064,    500.3,   2.5546,  34.5369,2,    225.0,2,    16.10,2,    14.74,2,     1.33,2,   2177.9,2,   2292.4,2,    -0.03,2, 20040923,     1017
  316N20040922, Davis,     1,  1, 271609,      7,2,20040923,1017, 66.8448, -59.0843, 1064,    400.8,   2.4059,  34.4336,2,    232.3,2,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -999.00,9, 20040923,     1017
  316N20040922, Davis,     1,  1, 271610,      8,2,20040923,1017, 66.8448, -59.0843, 1064,    301.3,   0.3653,  34.0676,2,    222.0,2,    19.00,2,    15.01,2,     1.56,2,   2184.0,2,   2285.5,2,  -999.00,9, 20040923,     1017
  316N20040922, Davis,     1,  1, 271611,      9,2,20040923,1017, 66.8448, -59.0843, 1064,    250.7,  -0.0658,  33.9347,2,    231.2,2,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -999.00,9, 20040923,     1017
  316N20040922, Davis,     1,  1, 271612,     10,2,20040923,1017, 66.8448, -59.0843, 1064,    200.4,  -0.8849,  33.6824,2,    260.9,2,    12.07,2,    11.53,2,     1.35,2,   2159.6,2,   2265.2,2,  -999.00,9, 20040923,     1017
  316N20040922, Davis,     1,  1, 271613,     11,2,20040923,1017, 66.8448, -59.0843, 1064,    150.3,  -1.6674,  33.4819,2,    288.7,2,     8.68,2,     8.48,2,     1.20,2,   2138.7,2,   2258.3,2,  -999.00,9, 20040923,     1017
  316N20040922, Davis,     1,  1, 271614,     12,2,20040923,1017, 66.8448, -59.0843, 1064,    100.6,  -1.5228,  33.1785,2,    285.3,2,    10.06,2,     7.31,2,     1.05,2,   2143.9,2,   2248.9,2,    -1.23,2, 20040923,     1017
  316N20040922, Davis,     1,  1, 271615,     13,2,20040923,1017, 66.8448, -59.0843, 1064,     50.4,  -1.6057,  32.7759,2,    304.1,2,    10.34,2,     6.62,2,     0.98,2,   2142.5,2,   2250.7,2,  -999.00,9, 20040923,     1017
  316N20040922, Davis,     1,  1, 271616,     14,2,20040923,1017, 66.8448, -59.0843, 1064,     31.0,  -1.4026,  32.5756,2,    306.2,2,    10.82,2,     5.47,2,     0.94,2,   2123.7,2,   2278.7,3,  -999.00,9, 20040923,     1017
